"forbrukergruppe";"år";"Forbruk i alt"
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2003";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2004";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2005";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2006";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2007";..
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2008";8839
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2009";8073
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2010";8137
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2011";8190
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2012";8171
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2013";8007
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2014";7761
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2015";7703
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2016";7878
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2017";7842
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2018";7885
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2019";7849
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2020";7614
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2021";7992
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2022";7469
"INDUSTRI UTENOM KRAFTINTENSIV INDUSTRI";"2023";7506
"Næringsmiddelindustri";"1993";..
"Næringsmiddelindustri";"1994";..
"Næringsmiddelindustri";"1995";..
"Næringsmiddelindustri";"1996";..
"Næringsmiddelindustri";"1997";..
"Næringsmiddelindustri";"1998";..
"Næringsmiddelindustri";"1999";..
"Næringsmiddelindustri";"2000";..
"Næringsmiddelindustri";"2001";..
"Næringsmiddelindustri";"2002";..
"Næringsmiddelindustri";"2003";..
"Næringsmiddelindustri";"2004";..
"Næringsmiddelindustri";"2005";..
"Næringsmiddelindustri";"2006";..
"Næringsmiddelindustri";"2007";..
"Næringsmiddelindustri";"2008";2343
"Næringsmiddelindustri";"2009";2698
"Næringsmiddelindustri";"2010";2687
"Næringsmiddelindustri";"2011";2604
"Næringsmiddelindustri";"2012";2673
"Næringsmiddelindustri";"2013";2637
"Næringsmiddelindustri";"2014";2677
"Næringsmiddelindustri";"2015";2697
"Næringsmiddelindustri";"2016";2752
"Næringsmiddelindustri";"2017";2765
"Næringsmiddelindustri";"2018";2831
"Næringsmiddelindustri";"2019";2841
"Næringsmiddelindustri";"2020";2951
"Næringsmiddelindustri";"2021";3053
"Næringsmiddelindustri";"2022";3031
"Næringsmiddelindustri";"2023";3094
"Annen industri";"1993";..
"Annen industri";"1994";..
"Annen industri";"1995";..
"Annen industri";"1996";..
"Annen industri";"1997";..
"Annen industri";"1998";..
"Annen industri";"1999";..
"Annen industri";"2000";..
"Annen industri";"2001";..
"Annen industri";"2002";..
"Annen industri";"2003";..
"Annen industri";"2004";..
"Annen industri";"2005";..
"Annen industri";"2006";..
"Annen industri";"2007";..
"Annen industri";"2008";6496
"Annen industri";"2009";5375
"Annen industri";"2010";5450
"Annen industri";"2011";5586
"Annen industri";"2012";5497
"Annen industri";"2013";5370
"Annen industri";"2014";5084
"Annen industri";"2015";5006
"Annen industri";"2016";5126
"Annen industri";"2017";5077
"Annen industri";"2018";5054
"Annen industri";"2019";5008
"Annen industri";"2020";4663
"Annen industri";"2021";4939
"Annen industri";"2022";4439
"Annen industri";"2023";4412
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"1993";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"1994";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"1995";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"1996";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"1997";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"1998";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"1999";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2000";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2001";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2002";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2003";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2004";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2005";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2006";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2007";..
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2008";1515
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2009";1836
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2010";1881
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2011";1752
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2012";2028
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2013";2223
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2014";2095
