Navn;Stasjon;Tid(norsk normaltid);Regional middeltemperatur, beregnet med normalperiode 1961-1990 (mnd);Regional middeltemperatur, beregnet med normalperiode 1991-2020 (mnd)
Region Norge;GR0;05.1928;3,04;3,39
Region Norge;GR0;06.1928;5,76;6,75
Region Norge;GR0;07.1928;7,94;8,91
Region Norge;GR0;08.1928;9,47;9,54
Region Norge;GR0;09.1928;5,53;5,47
Region Norge;GR0;10.1928;0,86;0,53
Region Norge;GR0;11.1928;-3,08;-3,67
Region Norge;GR0;12.1928;-5,65;-6,59
Region Norge;GR0;01.1929;-8,31;-9,5
Region Norge;GR0;02.1929;-9,95;-10,84
Region Norge;GR0;03.1929;-2,34;-3,05
Region Norge;GR0;04.1929;-3,47;-3,83
Region Norge;GR0;05.1929;3,89;4,23
Region Norge;GR0;06.1929;6,48;7,48
Region Norge;GR0;07.1929;8,94;9,93
Region Norge;GR0;08.1929;8,66;8,73
Region Norge;GR0;09.1929;6,55;6,5
Region Norge;GR0;10.1929;1,59;1,26
Region Norge;GR0;11.1929;-0,99;-1,58
Region Norge;GR0;12.1929;-0,92;-1,83
Region Norge;GR0;01.1930;-2,41;-3,58
Region Norge;GR0;02.1930;-5,26;-6,12
Region Norge;GR0;03.1930;-4,5;-5,22
Region Norge;GR0;04.1930;1,2;0,84
Region Norge;GR0;05.1930;4,86;5,21
Region Norge;GR0;06.1930;8,93;9,93
Region Norge;GR0;07.1930;12,14;13,12
Region Norge;GR0;08.1930;11,94;12,01
Region Norge;GR0;09.1930;5,58;5,52
Region Norge;GR0;10.1930;2,21;1,88
Region Norge;GR0;11.1930;-2,75;-3,33
Region Norge;GR0;12.1930;-2,94;-3,85
Region Norge;GR0;01.1931;-7,56;-8,75
Region Norge;GR0;02.1931;-7,29;-8,16
Region Norge;GR0;03.1931;-7,04;-7,79
Region Norge;GR0;04.1931;-1,49;-1,85
Region Norge;GR0;05.1931;4,2;4,55
Region Norge;GR0;06.1931;5,12;6,12
Region Norge;GR0;07.1931;11,31;12,3
Region Norge;GR0;08.1931;9,27;9,34
Region Norge;GR0;09.1931;4,1;4,04
Region Norge;GR0;10.1931;0,61;0,27
Region Norge;GR0;11.1931;0,29;-0,29
Region Norge;GR0;12.1931;-4,33;-5,26
Region Norge;GR0;01.1932;-2,27;-3,43
Region Norge;GR0;02.1932;-3,34;-4,18
Region Norge;GR0;03.1932;-5,47;-6,2
