No.;Time;Comment;Scramble;Date;P.1
218;22.11;;D' B2 F2 D' F2 D' B2 R2 U2 R2 F' U L' D' F U' R D U2 F;2022-04-10 09:18:53;22.11
219;18.82;;B2 L2 U' B2 D2 R2 B2 D2 F2 U L2 F' R' B' R' F2 R' B2 D R;2022-04-10 09:19:45;18.82
220;20.57;;B2 U R2 D' L2 U L2 U' F2 D2 R2 F2 L B2 D' L D2 F' D2 U2 L;2022-04-16 10:29:38;20.57
221;16.79;;D2 F' U' L2 D L2 U' B2 U2 R2 F2 U2 L U F' D2 R2 D' F L';2022-04-18 16:41:58;16.79
222;28.49;;L2 U2 B2 D F2 R2 D' R2 B2 U2 F' R' B D2 F R2 U' B F D;2022-04-18 16:42:39;28.49
223;17.59;;L F L2 B2 D2 F' U2 F U2 R2 U2 L2 F L' F L2 F2 U' L2 U2;2022-04-18 16:44:15;17.59
224;22.92;;L B' U2 B' D2 F' L2 B2 D2 F D2 L2 D2 U L B2 R B' U' R F2;2022-04-18 16:45:25;22.92
225;21.52;;B' L2 F2 L F L' D L2 B2 R2 U2 R F2 U2 F2 B2 R' F R2;2022-04-18 16:46:36;21.52
226;27.08;;D' B' U' F B D F R U2 F' R2 D2 L2 U2 F2 R2 L2 U R2 F2 D;2022-04-23 11:48:37;27.08
227;28.94;;L2 D2 B' D2 B' D2 B2 U2 B' U2 L B' R U B D' F' D L' U;2022-05-04 08:16:29;28.94
228;32.06;;L' U' B' L B R2 B U B2 U2 B2 D' L2 B2 U' R2 B2 U2 F2 B D2;2022-05-04 08:18:12;32.06
229;DNF(23.14);;F2 R D L' D R F R D2 B' R2 F R2 B2 U2 R2 L2 F U2 L2;2022-06-27 11:05:06;23.14
230;32.30;;B2 R' D2 L' B2 L' D2 R' D2 L' F2 D' F' D U R D2 R2 D F R2;2022-06-27 12:26:35;32.30
231;28.63;;R' F' L' B2 D2 B' R2 F2 R2 F R2 D2 B' R2 D' L2 F2 L2 U B F;2022-06-30 20:53:47;28.63
232;27.81;;F2 U2 R F2 R U2 F2 D2 U2 L' D2 B' L' U2 R' F2 D U F' L2;2022-06-30 20:59:12;27.81
233;24.57;;R' F2 D R' L2 D' F' L' F D2 L2 B2 D2 R2 B' L2 F U2 F' D';2022-08-11 10:06:57;24.57
234;17.03;;L F' U2 R2 D2 U2 R D2 B2 L' D2 R B2 F' D' R' U B D' B2 R';2022-08-11 17:09:50;17.03
235;22.17;;R L2 D' R2 U L2 B2 U L2 F2 U F2 L B2 R D' L B' L2 F D';2022-09-23 07:33:33;22.17
236;20.64;;L D' B2 F2 D L2 D2 R2 U F2 R2 B2 U' F R' D' B R F' L2 B';2022-09-23 07:34:34;20.64
237;24.54;;R' U2 F2 L' R2 F2 R D2 B R2 D' B2 L' B2 D2 F L2;2022-09-23 07:35:17;24.54
238;22.17;;D' R2 U2 B2 L2 U F2 D' F2 D' B2 D' B' D2 F2 R' D2 R' F' U L2;2022-09-23 07:36:05;22.17
239;17.75;;U B2 U' R2 D2 B2 F2 L2 D2 F2 U B L2 R' B' U' R' B2 U' F;2022-09-23 07:37:43;17.75
240;14.56;;F2 D B' L U R' U' F R2 F2 D2 L' B2 U2 L' F2 L2 U2 L' D' F;2022-09-23 07:38:35;14.56
241;16.53;;L2 D' R2 B' U2 B' U2 L2 U2 B2 U2 B' F' R2 D B2 L' R B' U R;2022-09-23 07:39:45;16.53
242;21.74;;F2 D' F B R B' U2 R2 D U2 L U2 R L2 F2 R' B2 D2 R' U2 B2;2022-09-23 07:40:23;21.74
243;15.38;;L2 U' B' F2 D' F2 U' L2 D U R2 F2 U' R' D' B' U L U';2022-09-23 07:41:23;15.38
244;22.42;;R2 F2 U F2 D L2 U L2 B2 D F2 R2 B D F R' B U2 L' U' R';2022-09-23 14:46:15;22.42
245;21.42;;R F' D' L2 B2 D2 R2 F2 U L2 D F2 U' L' B2 F' U' L' R D';2022-09-23 14:47:03;21.42
246;14.34;;U' B2 U F2 D' U' F2 U' L D2 L' D2 R' U2 B' U' F';2022-09-23 14:47:54;14.34
