_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
665d9f1b3f4cde2f9d1a4326,,115.55,100,115.55,78.29,48;0;0;0,words,10,-1,0,4.98,0,0,false,false,english,none,normal,false,false,false,,1717411611000
665d9f153f4cde2f9d1a42e0,,96.26,98.08,96.26,64.86,51;0;0;0,words,10,-1,1,6.36,0,1.86,false,false,english,none,normal,false,false,false,,1717411605000
665d9f0b3f4cde2f9d1a427c,,101.29,98.04,101.29,80.34,50;0;0;0,words,10,-1,1,5.92,0,1,false,false,english,none,normal,false,false,false,,1717411595000
665d9f023f4cde2f9d1a4236,,71.7,81.82,81.95,46.51,42;4;0;0,words,10,-1,1,7.03,0,1.93,false,false,english,none,normal,false,false,false,,1717411586000
665d9ef73f4cde2f9d1a41cb,,123.85,100,123.85,58.6,52;0;0;0,words,10,-1,0,5.04,0,0,false,false,english,none,normal,false,false,false,,1717411575000
665d9ef03f4cde2f9d1a4193,,132.12,100,132.12,88.04,53;0;0;0,words,10,-1,0,4.81,0,0,false,false,english,none,normal,false,false,false,,1717411568000
665d9e303f4cde2f9d1a3a9c,,120.29,100,120.29,65.17,53;0;0;0,words,10,-1,0,5.29,0,0,false,false,english,none,normal,false,false,false,,1717411376000
665d9e293f4cde2f9d1a3a4d,,103.17,96.55,103.17,80.76,56;0;0;0,words,10,-1,0,6.51,0,0,false,false,english,none,normal,false,false,false,,1717411369000
665d9e213f4cde2f9d1a39f2,,101.46,100,101.46,86.89,47;0;0;0,words,10,-1,0,5.56,0,0,false,false,english,none,normal,false,false,false,,1717411361000
665d9e193f4cde2f9d1a39a3,,115.59,100,115.59,91.5,48;0;0;0,words,10,-1,0,4.98,0,0,false,false,english,none,normal,false,false,false,,1717411353000
665d9e103f4cde2f9d1a3954,,127.1,100,127.1,66.05,46;0;0;0,words,10,-1,0,4.34,0,0,false,false,english,none,normal,false,false,false,,1717411344000
665d9e0a3f4cde2f9d1a3915,,70.62,96.49,70.62,36.78,55;0;0;0,words,10,-1,0,9.35,1,0,false,false,english,none,normal,false,false,false,,1717411338000
665d9dff3f4cde2f9d1a38a0,,90.11,100,90.11,59.93,52;0;0;0,words,10,-1,0,6.92,0,0,false,false,english,none,normal,false,false,false,,1717411327000
665d9df73f4cde2f9d1a3843,,100.84,98.08,100.84,51.36,51;0;0;0,words,10,-1,0,6.07,0,0,false,false,english,none,normal,false,false,false,,1717411319000
665d9def3f4cde2f9d1a3811,,111.98,96.49,135.81,57.6,47;0;1;0,words,10,-1,0,5.04,0,0,false,false,english,none,normal,false,false,false,,1717411311000
665d9de93f4cde2f9d1a37d9,,86.67,97.92,86.67,69.57,47;0;0;0,words,10,-1,0,6.51,0,0,false,false,english,none,normal,false,false,false,,1717411305000
665d77d23f4cde2f9d18d311,,87.64,100,87.64,52.63,55;0;0;0,words,10,-1,0,7.53,0,0,false,false,english,none,normal,false,false,false,,1717401554000
665d77c93f4cde2f9d18d2c2,,113.78,96.23,113.78,62.23,51;0;0;0,words,10,-1,0,5.38,0,0,false,false,english,none,normal,false,false,false,,1717401545000
