"kjønn";"alder";"år";"Personer"
"Kvinner";8;1987;25422
"Kvinner";8;1988;25454
"Kvinner";8;1989;25172
"Kvinner";8;1990;25463
"Kvinner";8;1991;25255
"Kvinner";8;1992;24702
"Kvinner";8;1993;25119
"Kvinner";8;1994;25486
"Kvinner";8;1995;26066
"Kvinner";8;1996;27116
"Kvinner";8;1997;28489
"Kvinner";8;1998;29360
"Kvinner";8;1999;30326
"Kvinner";8;2000;30356
"Kvinner";8;2001;29832
"Kvinner";8;2002;29873
"Kvinner";8;2003;29944
"Kvinner";8;2004;30147
"Kvinner";8;2005;30525
"Kvinner";8;2006;30040
"Kvinner";8;2007;29505
"Kvinner";8;2008;29833
"Kvinner";8;2009;29993
"Kvinner";8;2010;29081
"Kvinner";8;2011;28758
"Kvinner";8;2012;29406
"Kvinner";8;2013;29703
"Kvinner";8;2014;29825
"Kvinner";8;2015;30655
"Kvinner";8;2016;30710
"Kvinner";8;2017;31560
"Kvinner";8;2018;32289
"Kvinner";8;2019;31964
"Kvinner";8;2020;31047
"Kvinner";8;2021;30825
"Kvinner";8;2022;30198
"Kvinner";8;2023;30221
"Kvinner";8;2024;30280
"Kvinner";8;2025;30208
"Kvinner";9;1986;26362
"Kvinner";9;1987;25104
"Kvinner";9;1988;25466
"Kvinner";9;1989;25507
"Kvinner";9;1990;25234
"Kvinner";9;1991;25495
"Kvinner";9;1992;25323
"Kvinner";9;1993;24782
"Kvinner";9;1994;25229
"Kvinner";9;1995;25550
"Kvinner";9;1996;26102
"Kvinner";9;1997;27152
"Kvinner";9;1998;28587
"Kvinner";9;1999;29449
"Kvinner";9;2000;30482
"Kvinner";9;2001;30410
"Kvinner";9;2002;29878
"Kvinner";9;2003;30021
"Kvinner";9;2004;30055
"Kvinner";9;2005;30222
"Kvinner";9;2006;30635
"Kvinner";9;2007;30125
"Kvinner";9;2008;29666
"Kvinner";9;2009;30056
"Kvinner";9;2010;30166
"Kvinner";9;2011;29267
"Kvinner";9;2012;28910
"Kvinner";9;2013;29614
"Kvinner";9;2014;29938
"Kvinner";9;2015;30011
"Kvinner";9;2016;30882
"Kvinner";9;2017;30918
"Kvinner";9;2018;31747
"Kvinner";9;2019;32349
"Kvinner";9;2020;32041
"Kvinner";9;2021;31090
"Kvinner";9;2022;30921
"Kvinner";9;2023;30613
"Kvinner";9;2024;30487
"Kvinner";9;2025;30492
"Kvinner";10;1986;27824
"Kvinner";10;1987;26389
"Kvinner";10;1988;25171
"Kvinner";10;1989;25519
"Kvinner";10;1990;25552
"Kvinner";10;1991;25266
"Kvinner";10;1992;25535
"Kvinner";10;1993;25405
"Kvinner";10;1994;24900
"Kvinner";10;1995;25308
"Kvinner";10;1996;25600
"Kvinner";10;1997;26123
"Kvinner";10;1998;27203
"Kvinner";10;1999;28647
"Kvinner";10;2000;29606
"Kvinner";10;2001;30527
"Kvinner";10;2002;30475
"Kvinner";10;2003;30080
"Kvinner";10;2004;30111
"Kvinner";10;2005;30140
"Kvinner";10;2006;30358
"Kvinner";10;2007;30769
"Kvinner";10;2008;30297
"Kvinner";10;2009;29876
"Kvinner";10;2010;30251
"Kvinner";10;2011;30354
"Kvinner";10;2012;29451
"Kvinner";10;2013;29066
"Kvinner";10;2014;29774
"Kvinner";10;2015;30085
"Kvinner";10;2016;30248
"Kvinner";10;2017;31083
"Kvinner";10;2018;31099
"Kvinner";10;2019;31875
"Kvinner";10;2020;32507
"Kvinner";10;2021;32075
"Kvinner";10;2022;31150
"Kvinner";10;2023;31377
"Kvinner";10;2024;30886
"Kvinner";10;2025;30678
"Kvinner";11;1986;29720
"Kvinner";11;1987;27866
"Kvinner";11;1988;26427
"Kvinner";11;1989;25233
"Kvinner";11;1990;25562
"Kvinner";11;1991;25598
"Kvinner";11;1992;25294
"Kvinner";11;1993;25610
"Kvinner";11;1994;25532
"Kvinner";11;1995;24943
"Kvinner";11;1996;25364
"Kvinner";11;1997;25629
"Kvinner";11;1998;26173
"Kvinner";11;1999;27264
"Kvinner";11;2000;28796
"Kvinner";11;2001;29623
"Kvinner";11;2002;30582
"Kvinner";11;2003;30619
"Kvinner";11;2004;30187
"Kvinner";11;2005;30194
"Kvinner";11;2006;30271
"Kvinner";11;2007;30463
"Kvinner";11;2008;30958
"Kvinner";11;2009;30535
"Kvinner";11;2010;30064
"Kvinner";11;2011;30431
"Kvinner";11;2012;30533
"Kvinner";11;2013;29618
"Kvinner";11;2014;29263
"Kvinner";11;2015;29944
"Kvinner";11;2016;30309
"Kvinner";11;2017;30456
"Kvinner";11;2018;31252
"Kvinner";11;2019;31203
"Kvinner";11;2020;32008
"Kvinner";11;2021;32555
"Kvinner";11;2022;32175
"Kvinner";11;2023;31526
"Kvinner";11;2024;31775
"Kvinner";11;2025;31098
"Kvinner";12;1986;30004
"Kvinner";12;1987;29742
"Kvinner";12;1988;27906
"Kvinner";12;1989;26470
"Kvinner";12;1990;25256
"Kvinner";12;1991;25613
"Kvinner";12;1992;25622
"Kvinner";12;1993;25379
"Kvinner";12;1994;25709
"Kvinner";12;1995;25568
"Kvinner";12;1996;24965
"Kvinner";12;1997;25395
"Kvinner";12;1998;25683
"Kvinner";12;1999;26259
"Kvinner";12;2000;27419
"Kvinner";12;2001;28864
"Kvinner";12;2002;29702
"Kvinner";12;2003;30740
"Kvinner";12;2004;30700
"Kvinner";12;2005;30268
"Kvinner";12;2006;30303
"Kvinner";12;2007;30385
"Kvinner";12;2008;30624
"Kvinner";12;2009;31159
"Kvinner";12;2010;30733
"Kvinner";12;2011;30244
"Kvinner";12;2012;30572
"Kvinner";12;2013;30724
"Kvinner";12;2014;29797
"Kvinner";12;2015;29456
"Kvinner";12;2016;30140
"Kvinner";12;2017;30541
"Kvinner";12;2018;30618
"Kvinner";12;2019;31367
"Kvinner";12;2020;31319
"Kvinner";12;2021;32086
"Kvinner";12;2022;32635
"Kvinner";12;2023;32628
"Kvinner";12;2024;31848
"Kvinner";12;2025;31966
"Kvinner";13;1986;31586
"Kvinner";13;1987;30042
"Kvinner";13;1988;29775
"Kvinner";13;1989;27951
"Kvinner";13;1990;26485
"Kvinner";13;1991;25293
"Kvinner";13;1992;25647
"Kvinner";13;1993;25661
"Kvinner";13;1994;25506
"Kvinner";13;1995;25761
"Kvinner";13;1996;25610
"Kvinner";13;1997;24991
"Kvinner";13;1998;25420
"Kvinner";13;1999;25749
"Kvinner";13;2000;26434
"Kvinner";13;2001;27484
"Kvinner";13;2002;28885
"Kvinner";13;2003;29809
"Kvinner";13;2004;30829
"Kvinner";13;2005;30791
"Kvinner";13;2006;30374
"Kvinner";13;2007;30423
"Kvinner";13;2008;30545
"Kvinner";13;2009;30804
"Kvinner";13;2010;31338
"Kvinner";13;2011;30897
"Kvinner";13;2012;30397
"Kvinner";13;2013;30756
"Kvinner";13;2014;30933
"Kvinner";13;2015;29964
"Kvinner";13;2016;29656
"Kvinner";13;2017;30325
"Kvinner";13;2018;30677
"Kvinner";13;2019;30750
"Kvinner";13;2020;31494
"Kvinner";13;2021;31406
"Kvinner";13;2022;32196
"Kvinner";13;2023;33044
"Kvinner";13;2024;32972
"Kvinner";13;2025;32031
"Kvinner";14;1986;32213
"Kvinner";14;1987;31616
"Kvinner";14;1988;30102
"Kvinner";14;1989;29815
"Kvinner";14;1990;27968
